,Animal ID,Name,DateTime,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Age upon Outcome,Breed,Color,month,year,sex
0,A794011,Chunk,05/08/2019 6:20:00 PM,05/02/2017,Rto-Adopt,,Cat,2 years,Domestic Shorthair Mix,Brown Tabby/White,May,2019,Neutered Male
1,A776359,Gizmo,07/18/2018 4:02:00 PM,07/12/2017,Adoption,,Dog,1 year,Chihuahua Shorthair Mix,White/Brown,Jul,2018,Neutered Male
2,A821648,,08/16/2020 11:38:00 AM,08/16/2019,Euthanasia,,Other,1 year,Raccoon,Gray,Aug,2020,
3,A720371,Moose,02/13/2016 5:59:00 PM,10/08/2015,Adoption,,Dog,4 months,Anatol Shepherd/Labrador Retriever,Buff,Feb,2016,Neutered Male
4,A674754,,03/18/2014 11:47:00 AM,03/12/2014,Transfer,Partner,Cat,6 days,Domestic Shorthair Mix,Orange Tabby,Mar,2014,Intact Male
5,A659412,Princess,10/05/2020 2:37:00 PM,03/24/2013,Adoption,,Dog,7 years,Chihuahua Shorthair Mix,Brown,Oct,2020,Spayed Female
6,A814515,Quentin,05/06/2020 7:59:00 AM,03/01/2018,Adoption,Foster,Dog,2 years,American Foxhound/Labrador Retriever,White/Brown,May,2020,Neutered Male
7,A860161,*Lalo,07/19/2022 3:53:00 PM,05/04/2022,Adoption,,Cat,2 months,Domestic Shorthair,Brown Tabby,Jul,2022,Neutered Male
8,A689724,*Donatello,10/18/2014 6:52:00 PM,08/01/2014,Adoption,,Cat,2 months,Domestic Shorthair Mix,Black,Oct,2014,Neutered Male
9,A680969,*Zeus,08/05/2014 4:59:00 PM,06/03/2014,Adoption,,Cat,2 months,Domestic Shorthair Mix,White/Orange Tabby,Aug,2014,Neutered Male
10,A840370,Tulip,08/19/2021 7:36:00 PM,08/06/2019,Adoption,,Dog,2 years,Border Collie/Cardigan Welsh Corgi,Black/White,Aug,2021,Spayed Female
11,A684617,,07/27/2014 9:00:00 AM,07/26/2012,Transfer,SCRP,Cat,2 years,Domestic Shorthair Mix,Black,Jul,2014,Intact Female
12,A742354,Artemis,01/22/2017 11:56:00 AM,01/20/2010,Return to Owner,,Cat,7 years,Domestic Shorthair Mix,Blue/White,Jan,2017,Neutered Male
13,A818049,Fiona,06/01/2020 1:24:00 PM,06/01/2018,Return to Owner,,Dog,2 years,Pit Bull,White/Blue,Jun,2020,Intact Female
14,A843327,*Mary,10/08/2021 1:25:00 PM,09/29/2019,Transfer,Out State,Dog,2 years,Chihuahua Shorthair Mix,Black/White,Oct,2021,Intact Female
15,A681036,,06/11/2014 5:11:00 PM,06/09/2014,Transfer,Partner,Cat,2 days,Domestic Shorthair Mix,Brown Tabby,Jun,2014,Intact Male
16,A803149,*Birch,08/31/2019 4:26:00 PM,08/08/2019,Transfer,Partner,Cat,3 weeks,Domestic Shorthair,Brown Tabby,Aug,2019,Intact Male
17,A595061,Gypsy,08/18/2022 6:07:00 PM,10/01/2010,Return to Owner,,Dog,11 years,Labrador Retriever Mix,Red/White,Aug,2022,Spayed Female
18,A698049,Luigi,03/16/2015 2:50:00 PM,06/05/2014,Transfer,Partner,Cat,9 months,Domestic Medium Hair Mix,Black/White,Mar,2015,Spayed Female
19,A773792,,06/05/2018 3:30:00 PM,05/05/2018,Euthanasia,Suffering,Cat,4 weeks,Domestic Shorthair Mix,Orange Tabby,Jun,2018,Intact Male
20,A848454,Olli,01/07/2022 1:02:00 PM,04/20/2014,Adoption,,Cat,7 years,Domestic Shorthair Mix,Orange Tabby,Jan,2022,Spayed Female
21,A822928,*Primrose,01/24/2022 11:49:00 AM,09/15/2010,Adoption,Foster,Cat,11 years,Domestic Shorthair,Torbie,Jan,2022,Spayed Female
22,A833999,,05/08/2021 2:05:00 PM,04/23/2021,Transfer,Partner,Cat,2 weeks,Domestic Medium Hair,Brown Tabby,May,2021,Intact Female
23,A856853,Jameson,05/20/2022 3:32:00 PM,11/09/2021,Adoption,,Dog,6 months,Black Mouth Cur Mix,Brown/Black,May,2022,Neutered Male
24,A725795,,05/03/2016 12:39:00 PM,04/15/2016,Euthanasia,Underage,Other,2 weeks,Opossum,Gray,May,2016,
25,A835990,Jack,06/04/2021 2:31:00 PM,06/04/2019,Return to Owner,,Dog,2 years,Weimaraner/Labrador Retriever,Blue,Jun,2021,Intact Male
26,A730621,*Liza,09/10/2016 6:59:00 PM,05/18/2016,Adoption,,Cat,3 months,Domestic Shorthair Mix,Calico,Sep,2016,Spayed Female
27,A765349,Einstein,06/08/2018 1:04:00 PM,01/18/2009,Adoption,Foster,Dog,9 years,Chihuahua Shorthair Mix,Tricolor,Jun,2018,Neutered Male
28,A878380,A878380,04/15/2023 10:15:00 AM,04/11/2021,Euthanasia,Suffering,Cat,2 years,Siamese Mix,Lilac Point,Apr,2023,Intact Male
